Lat,Lon,Amenity,Name
18.4666262,-66.1188558,university,Centro de Estudios Avanzados de Puerto Rico y el Caribe
18.4687308,-66.1143297,bar,El Kofresí
18.4653988,-66.1135378,restaurant,Greengos Caribbean Cantina
18.4641438,-66.1165072,ice_cream,Señor Paleta
18.4667494,-66.1166886,bar,Alfresco Rooftop Wine Bar
18.4660403,-66.1144935,cafe,Café Finca Cialitos
18.4673131,-66.1171989,restaurant,Sanse
18.4650611,-66.1168671,atm,Popular
18.4652458,-66.1161845,atm,Popular
18.4650654,-66.1166829,cafe,Pani Agua
18.4683478,-66.1196093,marketplace,Mercado Agrícola Natural Viejo San Juan
18.4653652,-66.1154099,restaurant,La Güerita
18.4633761,-66.1129657,restaurant,Gspot
18.4650093,-66.1126866,restaurant,Buns Burger Shop
18.4655098,-66.1155287,cafe,Casa Cortés ChocoBar
18.4675149,-66.1199780,restaurant,Rincón Ibérico
18.4676014,-66.1194710,restaurant,Tío Danny
18.4640524,-66.1121345,pharmacy,Walgreens
18.4641082,-66.1069479,cafe,Cafe Muelle 6
18.4672429,-66.1173999,nightclub,La Factoría
18.4670955,-66.1176103,ice_cream,Heladería San José
18.4671729,-66.1179049,bar,Local #110
18.4670051,-66.1175831,restaurant,Tradición Quetzal
18.4671945,-66.1177476,bar,El Quinqué
18.4670436,-66.1174762,cafe,Quimera
18.4670580,-66.1176023,bar,Te Cojo Bajando
18.4672340,-66.1174922,bar,Café Hijos de Borinquen
18.4672760,-66.1172689,bar,Mono Stereo
18.4676026,-66.1173272,bar,Papijoe
18.4672331,-66.1186726,restaurant,Ostra Cosa @Tótem
18.4643114,-66.1178476,bar,The Chapel
18.4640451,-66.1174253,bar,T-tuan
18.4642491,-66.1169373,restaurant,Waffle-era Tea Room
18.4674760,-66.1169842,pub,Rivera Hermanas
18.4656785,-66.1157921,parking_entrance,La Cochera
18.4637009,-66.1168501,restaurant,Princesa Gastrobar
18.4654577,-66.1138476,restaurant,Punto de Vista
18.4633788,-66.1144492,restaurant,La Casita de Rones
18.4658708,-66.1150868,restaurant,Ajo del Pais
18.4659500,-66.1147865,restaurant,La Bombonera
18.4646800,-66.1109766,police,Cuartel de la Policía Municipal del Viejo San Juan
18.4645182,-66.1174473,ice_cream,Himalaya Ice Co
18.4671766,-66.1183908,fast_food,Dokas Donas Artesanales
18.4633902,-66.1129073,cafe,Café Cola'o
18.4654302,-66.1141158,restaurant,Pirilo Pizza Rústica
18.4655410,-66.1166828,townhall,Casa Alcaldía de San Juan
18.4664099,-66.1130767,bar,La Grieta
18.4644626,-66.1153061,restaurant,Spiga
18.4676515,-66.1162524,restaurant,Cannon Club
18.4654615,-66.1162237,restaurant,The Cave
18.4678566,-66.1144645,fast_food,Antojitos del Callejón
18.4676605,-66.1144531,restaurant,El Rincón De Paco
18.4664852,-66.1155041,marketplace,Luna Market
18.4679139,-66.1144664,restaurant,La Verguenza
18.4670192,-66.1132447,restaurant,Restaurante Casa Luna
